_t1,inventoryNo,regionId,illustrationFileName,name,ability,notes,type,subType,regionName,size,rank,discordChannelUrl
,BD6,B,DOKKEBI_11,사라 wihtout ㅇ,- / 땅의 울림이 고스란히 빛나는 사랑의 복통,"이몸은 음욕의 꼬리 (HD8)에 걸린 사랑을 훔치려다, 손에 사랑이 물든, 꿈을 이룬 도깨비다. 무엇을 만지던 기대감과 설렘으로 빨아들이는 모양. 이 몸의 유일한 스트레스는 시름시름 사랑에 앓는 복통 뿐인데, 북부의 땅의 울림이 커지면서, 복통도 심해져 시장에 내놓았다. 불투명한 이 녀석의 뱃속엔 미지의 잠재력이 있을지 모르는 ‘사랑 모양의 빛’이 땅의 울림을 따라 번뜩이고 있다. 당장에 이녀석은 사랑을 모아만 봤지 배푼적은 없어보인다. 어두운 지역에 사는 당신이라면, 조명으로 사용하면 좋을지도. 무드 등으로 훌륭해 보이는 몸맵시다.",도깨비,,제아쿨,소형,D,https://discord.com/channels/1283684660190249030/1283689890256785480
,BD7,B,DOKKEBI_12,오리대감 우리마님,"- / 마음의 그릇 小,특大 size","유교 사상이 깊이 뿌리 박힌 오리대감과 그의 아내 우리마님. ‘마음의 그릇’이라는 관용적 표현처럼 실제로 그들이 각자 들고있는 것이, 각자 마음 씀씀이 만큼 자라난 ‘마음의 그릇’이다. 대감 오리는 우리마님이 항상 느리고,우유부단한 탓에, 유교사상에 따라 본인이 모든것을 도맡아 독단적으로 결정하고 가장으로서 이끈다 생각하며 살고있는데 , 정작 마음의 그릇이 아내보다 작은게 늘 못마땅했다. 우리마님이 짊어진 마음의 그릇안에는 이 커플의 영혼의 정수가 가득 차있는데, 이마가 넓은 오리대감은 머리 위 우리마님의 그릇 속을 보지 못했다. 요번 기회에 이혼하기 위해 도깨비 시장에 나왔다.",도깨비,,제아쿨,소형,E,https://discord.com/channels/1283684660190249030/1283689932514263062
,BD8,B,DOKKEBI_13,정체불명의 가죽,,"정체 불명의 도깨비 가슴에 달려있던 여섯개의 젖꼭지로 알려져있다. 가죽으로 취급하나, 객채로서 살아 숨쉬는 모양. 여섯개의 돌기가 각기 다른 리듬으로 커졌다 작아졌다 하고있다. 물리적인 충격을 가했을때, 성장속도가 빨라지는듯 보인다…",도깨비,아티팩트,제아쿨,중형,E,https://discord.com/channels/1283684660190249030/1283689994203959347
,BD9,B,DOKKEBI_14,미슈,- / 파란눈,"파란눈을 위해, 도깨비 시장에 외눈박이의 몸을 구매하러 찾아 온 혼. 도심의 쓸쓸함이 느껴질만큼 슬퍼보이는 파란 눈엔 어떤 사연이 있는걸까. 그윽히 바라보면 필자는 정체 모를 외소한 사내가 거대한 ‘말라’를 타고 전장을 휩쓰는 모습이 보인다.",영혼,,제아쿨,중형,B,https://discord.com/channels/1283684660190249030/1283690019420110867
,BD10,B,DOKKEBI_15,청구리,"- / 들어올린 주먹에는 이빨 한점, 반대쪽 주먹에는 눈알 한점.",인간 세상의 서구권의 악마를 닮은 도깨비. 특이 사항으론 한쪽 팔을 들면 반대쪽 눈이 떠지고 이빨이 튀어나온다.,도깨비,,제아쿨,소형,D,https://discord.com/channels/1283684660190249030/1283690043231178783
,BD11,B,DOKKEBI_16,하삼,,"튤립모양 플라스틱 그릇위에 올려진 산삼에 영이 깃들어 태어난 순수혈통의 도깨비. 삼의 모양을 보아 하니, 일전에 아이가 귀한 산삼위에 장난을 쳐 놓은 모양. 이 몸은 자신의 태생을 누군가가 남겨 놓은 발자국으로 잘못 알고 제 어미 찾듯 주인을 찾고있다. 자신의 얼굴에 도깨비들의 발을 대며 있지않은 부모를 찾는 비운의 고아. 그가 발톱으로 믿는 세 갈레의 머리칼 처럼 그의 두뇌는 세개로 하이브리드 이지만, 감상에 젖어 제값을 사용 못하는중.",만물,,제아쿨,소형,B,https://discord.com/channels/1283684660190249030/1283690069261160499
,BD12,B,DOKKEBI_17,네지,원심력 / 도깨비들의 이빨,"네지의 더듬이는 팔로, 턱이 배로 발달한 변종 도깨비다. 과거 달팽이처럼 끈적이는 육체를 갖고 있던 네지는 평생을 땅에 붙어 살았다. 자유로운 영혼의 삶을 갈구하던 네지는 연인 마기(BD13)와 자유로운 혼의 삶을 약속하고, 단두오름 위로 올라섰다. 하지만 네지는 머리가 잘릴 시 끈적이는 육체 탓에 단칼에 잘리지 않아 영혼이 다 빠져 나가지 못하였다. 운이 좋게도(?), 끈적임에 으시시성으로 굴러 떨어지지 않을 수 있었고, 자신의 긴 더듬이를 뻗어 굴러 떨어지던 마기의 머리를 건져내고, ‘윽..걸!’ 거리는 입을 가린 채 온전한 도깨비로 위장하여 살고있다. 오뚝이처럼 빙글빙글 배를 굴리며 이동하고, 연약한 자신의 하체가 민감도가 높은 이유기도 하지만 최대 약점이기도 하다. 도깨비들의 수명다한 이빨을 수집해 자신의 갑옷을 만들어 방어력을 강화한다. 땅이 울릴때마다 떨리는 이빨들의 소리는 감미롭다. 옛 연인인 마기의 혼이 되고자 하는 뜻에 따라 도깨비 시장에 나왔지만, 몸이 떨어져 간소화된 자신의 현재 삶에 만족한다.",도깨비,변종(통굴),제아쿨,소형,E ,https://discord.com/channels/1283684660190249030/1283690090018639916
,BD13,B,DOKKEBI_18,마기,- / 도깨비들의 동공,"거대한 네지(BD12)의 육체와 달리, 도마뱀 처럼 작고 날렵한 몸을 가지고있던 마기는 땅으로부터 자유를 갈망하는 네지의 염원을 함께 이루기 위해 자유로운 혼의 삶을 약속하고 단두오름 위에 몸을 던졌다. 하지만 머리가 잘릴시 재생능력을 가진 육체 탓에 영혼이 전부 빠져 나가지 못했다. 남아있는 재생 능력을 통해 뜯어진 모양 대로 다리로 쓸만한 것이 생긴 상태. 보다더 끔찍해진 이 몸뚱아리를 어떻게던 팔아야만, 그녀의 염원을 이룰수 있다. ‘윽..걸!’ 거리는 입을 가리고, 다리 사이에 잔뜩 수집한 도깨비들의 ‘생명 잃은 눈동자’는 땅이 울릴때마다 파르르 떨리는데, 꽤나 강해보인다. 누군가 살것만 같은 좋은 예감을 직면한다.",도깨비,변종(통굴),제아쿨,소형 ,E,https://discord.com/channels/1283684660190249030/1283690110889623572
,BD14,B,DOKKEBI_19,촉수벌레 막내,- / 파란다리,"오십여개의 작은 팔과 조그마한 다리를 가지고 있는 도깨비. 대갈장군(BD15)만큼이나, 오랜기간 팔리지 않은 촉수벌레. 왕도깨비나 대갈장군 처럼 멋진 부츠를 신고싶었지만, 하반신이라곤 찾아 볼수 없는 이 가여운 녀석에게 왕도깨비는 멋진 부츠로 유명한 오라이드숭이 (KD17) 형제의 다리를 몰래 잘라와 선물해 주었다. 매일밤 신의나무를 향해 염원했던 소원이 하룻밤 사이 이뤄진 촉수벌레는 풍요로운 마음으로, 느릿 느릿- 자신의 촉수를 잘린 다리와 연결짓고 있다.",도깨비,,제아쿨,소형,E,https://discord.com/channels/1283684660190249030/1283690138681212988
,BD15,B,DOKKEBI_20,대갈장군,- / 노란다리,"오랜세월 제아쿨에서 팔리지 않은 육신, 대갈장군. 무덤처럼 보이는 자신의 돌같은 피부를 감추기 위해 외향에 신경을 많이 쓰던 대갈장군은 자신보다 모든면이 부족한 촉수벌레 (BD14)를 항상 끼고 살았다. 자신의 멋진 장화와 장갑을 마냥 부러워해주는 촉수벌레를 볼때면 설명할 수 없는 우월감이, 오랜 세월 팔리지 않았던 자신의 아픔을 위로함과 동시에 누군가 몸을 가져갈거란 기대감이 생겨 행복해졌다. 여느날과 다름없이, 부러움의 눈빛을 기대하고, 제일 아끼던 화요일의 장갑과 수요일의 부츠를 신고 나갔는데, 마침 촉수벌레가 누군가의 육신을 먹어치우고 다리만 남긴것 같은 상황을 목격한다. 오해한 대갈장군은 부츠와 장갑을 뺏기지 않기위해 일단 숨어 지켜보기로 한다.",도깨비,,제아쿨,소형,E,https://discord.com/channels/1283684660190249030/1283690162571972608
,BD16,B,DOKKEBI_21,야나야,두통을 억누르고 쏟아내는 빠른 언변 / 자성이 있는 못 (조종 가능),"도깨비 시장의 경매사. 타고난 말솜씨로 수많은 NUS를 벌어들인다. 추누주(BD4)가 뱉은 못 하나가 머리에 깊숙히 박히면서 하루아침에 인생이 달라졌다. 한가운데 밖힌 못의 자성에 이끌린 다른 못이 머리 주변을 맴돌면서, 못이 움찔 거리는데, 심한 두통을 유발한다. 아플때마다 그는 빠르게 낙찰을 외쳤고, 몇번의 실수로 수십년간 유지되던 그의 견고한 평판은 금이가기 시작했다. 불명예로 괴로워 하던 그는 자신의 육신을 도깨비 시장에 팔기로 결심한다.",도깨비,,제아쿨,중형,C,https://discord.com/channels/1283684660190249030/1283690204594442281
,BD17,B,DOKKEBI_22,야모야,,"야나야(BD16)의 동생으로, 의욕 하나 없이 살던 모야모야는 좌절한 형을 따라 새로운 인생을 살아보기 위해 도깨비 시장에 나왔으나, 판매대에 올라온 사라 wihtout ㅇ (BD6)를 보고 첫눈에 반하게 된다. 삶의 의미가 생겨버린 야모야는 장난기와 민감도가 치솓아 올랐고, 중형 A 랭크 만큼의 능력치를 지니게 되었다. 누군가 그를 사갈 확률을 떨어뜨리기 위해 강력한 능력치를 감추고, 반짝거리는 그녀를 조금더 오래 보고자 한다. 그의 사랑은이루어 질수 있을까?",도깨비,,제아쿨,중형,E,https://discord.com/channels/1283684660190249030/1283690226845483009
,BD18,B,DOKKEBI_23,수수깡,- / 흰색 소형 도깨비 방망이,"이 도깨비는 방망이 하나 들기 어려운 최약체의 몸을 가지고 태어났지만, 아구힘이 좋아 선대로 부터 희귀한 방망이를 놓아본적이 없다. (들기 어렵다는것이 함정.) 때리면, 방망이와 같은 하얀 강화석으로 재질이 되는데 몸통을 강화석으로 바꿔둔 상태. 101 원오원 (AD1)과 같은 ‘음양의 눈’이 무려 세개나 있는데, 멋대로 움직이는 눈 때문에 고생이 많은 도깨비다. 운이 좋아 세개의 눈이 한방향으로 초점을 맞추게 되면 시력이 무려 7.0이나 되며, 땅의 끝까지 볼수 있는 천리안을 뜨게 된다. 하지만 초점이 뜻대로 제어되지 않는 것이 최약점. 왼쪽 방망이를 든 손에 맞게되면, 난시가 생겨 장님이나 다름없다. 지금은 초점을 맞추기위해 꼭 필요한 코가 없어진 상태. 어딘가에 흘려둔것만 같은데, 당최 눈앞이 보여야 찾을것 아닌가. 방망이로 더듬거리며 이곳 저곳을 강화석으로 만들고 있다. 다가갈때 제어 안되는 그의 팔다리를 조심하라.",도깨비,,제아쿨,중형,D,https://discord.com/channels/1283684660190249030/1283690261154762793
,BD19,B,DOKKEBI_24,지야불,- / 꽃 꼬리,"본체보다 높은 지능의 꽃을 꼬리에 달고 사는 도깨비. 사실 본채가 떡밥이다. 이 꽃은 공격적인 자세를 띄고있어, 마주하면 위압감에 반사적으로 선공을 하게 만든다. 하지만 반사적으로 흥분하지 않고, 부드럽게 어루만진다면 한없이 순종적인 ‘꽃’ 그자체다. 적대적으로 마주할 땐 꼬리의 꽃이 몸을 뒤덮어 당신을 한입에 녹여버릴지도 모른다.",도깨비,,제아쿨,소형,D,https://discord.com/channels/1283684660190249030/1283690293937311757
,BD20,B,DOKKEBI_25,오오니 조다느,"기동력, 몸통 박치기 / - ","해마 같은 도깨비. 지능이 떨어져 단독으로 행동하진 못하지만, 이 녀석은 무릎에 힘이 좋아 기동력이 매우 뛰어나다. 과거에는 바다에서도 기동력이 우수했다고 전해진다. 외래종 도깨비라는 미지의 출신탓에 외로운 삶에 지쳐 육신을 바꾸고자 시장에 몸을 내놓았다.",도깨비,외래종,제아쿨,중형,C,https://discord.com/channels/1283684660190249030/1283690349138677851
,BD21,B,DOKKEBI_26,스믈런의 증기 갑옷,최상의 기동력 / 스스로가 도깨비이자 아이템,도깨비 아티팩트. 스물런 (BD22)의 탈피 갑옷 이것을 착용하면 최고 수준의 기동력을 획득할 것이라고 일컬어진다. 엥 엥 엥 거리는 빠른 속도의 바람에 모든 도깨비들은 몸이 밀려 제자리로 돌아가곤 한다. 그려진 별은 이전 스물의 랩타임 갱신 기록을 상징하는 멋진 문양이다.,도깨비,아티팩트,제아쿨,중형,A,https://discord.com/channels/1283684660190249030/1283690394122457098
,BD22,B,DOKKEBI_27,스믈런,최상의 기동력 / - ,"BD21의 혼. 과거에 엄청나게 빠른 도깨비였지만, 스스로의 랩타임 기록을 갱신하고자, 영혼이 되어 빛의 속도를 갖기위해 육신을 벗어나는 것을 선택했다. 머리만 남아, 윽!걸.. 대지만, 속도에 대한 집념으로 영혼의 두다리를 형성하였다. 스스로의 기록은 갱신 하였으나, 지형적 특성이나, 도깨비 밀집 지역들이 이제는 그의 속도를 늦추는데 무의미 해졌고, 오히려 속도를 제어 할 수가 없어, 영혼보다는 자연계의 바람 또는 태풍으로 남아버린 비운의 혼. 도깨비 월드를 수천만 바퀴를 돌며, 지형 뿐만아니라, 여러 도깨비의 몸을 관통 하면서, 종족별 비밀을 가장 많이 주워담은 영혼일지도.. 도깨비 시장에 본인의 목없는 육신이 아티팩트로 나온다는 소문을 듣고 다시 육신을 되찾기 위해 얼굴을 몸에 안착시켜 멈출수 있는 타이밍을 보고있다.",영혼,통굴,제아쿨,중형,A,https://discord.com/channels/1283684660190249030/1283690419917553706
,BD23,B,DOKKEBI_28,초,,"칠죄종 혼들의 사념 덩어리에서 떨어져 나온 혼. 악의 기운을 가지고 있지만, 구체적인 의지는 없다. 무언가 안좋은 기운으로 남의 험담을 하러 스물스물 다가오는듯 하나, 귀를 가까이 대보면 아무말도 하지 않는 이상한 구석이 있다. 딱히 붙일 말이 없는 편인듯..",영혼,,제아쿨,중형,D,https://discord.com/channels/1283684660190249030/1283690478927351840
,BD24,B,DOKKEBI_29,누각,,"제아쿨에 다녀온 도깨비들의 얘기를 들어보면, 버티기 힘든 쿱쿱한 냄새가 난다던데, 바로 이놈의 냄새다. 강력한 분비물과 배출물이 곧 누각의 아우라다. 고로 곁에 머무는이 없이 혼자다니지만 무시못할 괴력을 가지고 있다. 소리를 지르면 남부 쪽에 위치한 바위가 금이갈 정도의 정교하고 큰 울림통을 가지고 있다. 왕도깨비 지배하에는 큰 목소리를 이용해 정보를 알린다. 징이나 북을 치며 알리는 역할을 하기도 한다. 비록 지배하에 있지만 땅에 욕심낼 수록 홀로 고독해졌던 과거를 추억하기 보다, 추종의 메세지를 세상에 알리는 현재에 의미를 더 두고 사는듯 하다.",도깨비,,제아쿨,대형, A,https://discord.com/channels/1283684660190249030/1283690497348599839
,CD1,C,DOKKEBI_30,버섯 하봉,,"과거 남부에서 리듬 잘 타기로 유명했던 5중주 쎄시봉 퀸텟. 왕도깨비의 세례의식 몰입을 위해 남부에서 트리오만 옮겨지게 되면서 , 퀸텟의 수를 맞추기 위해 리듬 꾀나 타던 도깨비들의 영혼을 조합해 두번째로 만들어진 영혼 꼴라주. 이동 중 죽어버린 쎄시봉 버섯 쌍둥이 (RD50)의 대용으로 만들어졌다. 천재로 불리던 그의 빈자리를 채우기엔 하봉의 연주는 너무 거칠고 본능적이었으며, 피아노 소리를 내던 버섯과는 달리 하프를 튕기는 것만 같은 기괴한 소리를 낸다. 왕도깨비는 그 후로 기억하던 버섯 쌍둥이의 소리를 찾기위해 수많은 영혼 꼴라주를 만들게 된다.",영혼,영혼콜라주,제아쿨,중형,E,https://discord.com/channels/1283684660190249030/1283690698473734174
